date,ticker,spot,open,call_vol,put_vol,call_oi,put_oi,call_prem,put_prem,pc_vol,pc_oi,n_expiries,atm_iv,iv_skew,exp_move,vix,vxn,ovx,sp500,nasdaq
2026-06-30,AAPL,281.74,,263161,156805,1,0,64373847.0,54843669.0,0.5959,0.0,8,,,,16.450000762939453,27.110000610351562,43.16999816894531,7499.35986328125,26213.720703125
2026-06-30,AMZN,240.14,,362621,147605,0,0,152567077.0,64233686.0,0.4071,,8,,,,16.450000762939453,27.110000610351562,43.16999816894531,7499.35986328125,26213.720703125
2026-06-30,GOOGL,353.65,,149825,57902,0,0,78323575.0,18438391.0,0.3865,,8,,,,16.450000762939453,27.110000610351562,43.16999816894531,7499.35986328125,26213.720703125
2026-06-30,JPM,329.39,,19450,14019,955,157,10592153.0,4507145.0,0.7208,0.1644,7,,,,16.450000762939453,27.110000610351562,43.16999816894531,7499.35986328125,26213.720703125
2026-06-30,META,562.6,,110990,50519,4,21,61154711.0,186688605.0,0.4552,5.25,8,,,,16.450000762939453,27.110000610351562,43.16999816894531,7499.35986328125,26213.720703125
2026-06-30,MSFT,368.57,,257983,91537,0,0,85526248.0,71747041.0,0.3548,,8,,,,16.450000762939453,27.110000610351562,43.16999816894531,7499.35986328125,26213.720703125
2026-06-30,NVDA,194.97,,858830,451478,0,0,273701978.0,120474423.0,0.5257,,8,,,,16.450000762939453,27.110000610351562,43.16999816894531,7499.35986328125,26213.720703125
2026-06-30,TSLA,411.84,,763888,562207,226,1248,998932702.0,209983269.0,0.736,5.5221,8,,,,16.450000762939453,27.110000610351562,43.16999816894531,7499.35986328125,26213.720703125
2026-06-30,WMT,114.6,,42830,29764,0,0,4540197.0,5790548.0,0.6949,,7,,,,16.450000762939453,27.110000610351562,43.16999816894531,7499.35986328125,26213.720703125
2026-06-30,XOM,136.06,,20299,10225,1,445,2521258.0,4276244.0,0.5037,445.0,7,,,,16.450000762939453,27.110000610351562,43.16999816894531,7499.35986328125,26213.720703125
2026-07-01,AAPL,289.36,,610756,324088,1,0,159763001.0,46535822.0,0.5306,0.0,8,,,,16.59000015258789,27.690000534057617,40.7599983215332,7483.22998046875,26040.029296875
2026-07-01,AMZN,238.34,,356593,161747,0,0,114546416.0,84923279.0,0.4536,,8,,,,16.59000015258789,27.690000534057617,40.7599983215332,7483.22998046875,26040.029296875
2026-07-01,GOOGL,357.37,,153634,69940,0,0,72417209.0,16522618.0,0.4552,,8,,,,16.59000015258789,27.690000534057617,40.7599983215332,7483.22998046875,26040.029296875
2026-07-01,JPM,327.33,,22424,11283,883,157,11896001.0,4064098.0,0.5032,0.1778,7,,,,16.59000015258789,27.690000534057617,40.7599983215332,7483.22998046875,26040.029296875
2026-07-01,META,563.29,,178709,86017,3,21,108049916.0,181106568.0,0.4813,7.0,8,,,,16.59000015258789,27.690000534057617,40.7599983215332,7483.22998046875,26040.029296875
2026-07-01,MSFT,373.02,,308765,85280,0,0,102329968.0,30945732.0,0.2762,,8,,,,16.59000015258789,27.690000534057617,40.7599983215332,7483.22998046875,26040.029296875
2026-07-01,NVDA,200.09,,1315341,589326,0,0,367677700.0,85724093.0,0.448,,8,,,,16.59000015258789,27.690000534057617,40.7599983215332,7483.22998046875,26040.029296875
2026-07-01,TSLA,420.6,,1356323,763987,226,1246,994458882.0,227281619.0,0.5633,5.5133,8,,,,16.59000015258789,27.690000534057617,40.7599983215332,7483.22998046875,26040.029296875
2026-07-01,WMT,113.26,,48578,24220,0,0,6465854.0,4589209.0,0.4986,,7,,,,16.59000015258789,27.690000534057617,40.7599983215332,7483.22998046875,26040.029296875
2026-07-01,XOM,136.72,,22091,7241,1,445,7703916.0,2522874.0,0.3278,445.0,7,,,,16.59000015258789,27.690000534057617,40.7599983215332,7483.22998046875,26040.029296875
2026-07-02,AAPL,294.38,,324419,165897,1,0,98993467.0,40395324.0,0.5114,0.0,8,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-02,AMZN,241.7,,307457,110438,0,0,154217286.0,49998465.0,0.3592,,8,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-02,GOOGL,361.21,,104492,68916,0,0,57383102.0,18082535.0,0.6595,,8,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-02,JPM,334.07,,35008,15861,883,157,16700567.0,2945760.0,0.4531,0.1778,7,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-02,META,612.91,,545365,161588,28173,21,513862179.0,114999757.0,0.2963,0.0007,8,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-02,MSFT,384.28,,390360,93116,0,0,184333851.0,72858396.0,0.2385,,8,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-02,NVDA,197.58,,877009,539201,0,0,216981640.0,107850759.0,0.6148,,8,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-02,TSLA,425.3,,683388,482156,226,1246,552997190.0,230029022.0,0.7055,5.5133,8,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-02,WMT,108.82,,106699,117394,0,2008,13964959.0,62364118.0,1.1002,,7,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-02,XOM,136.28,,11590,12496,1,445,2312582.0,11187436.0,1.0782,445.0,7,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-03,AAPL,308.63,,501087,295312,982808,554849,346347388.0,50685613.0,0.5893,0.5646,8,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-03,AMZN,242.67,,237481,86291,1127299,472534,115590852.0,47215688.0,0.3634,0.4192,8,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-03,GOOGL,359.91,,91581,43637,550495,357258,58316719.0,22913938.0,0.4765,0.649,8,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-03,JPM,334.47,,43273,11335,113426,103932,120036037.0,5323482.0,0.2619,0.9163,6,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-03,META,582.9,,206653,86281,620743,259213,122289612.0,124578976.0,0.4175,0.4176,8,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-03,MSFT,390.49,,254124,70971,1177207,423496,162817421.0,52518161.0,0.2793,0.3597,8,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
2026-07-03,NVDA,194.83,,974768,493332,1937842,1594979,214065134.0,173419346.0,0.5061,0.8231,8,,,,16.149999618530273,27.979999542236328,41.619998931884766,7483.240234375,25832.669921875
